filepath,label
PetImages/Cat/0.jpg,Cat
PetImages/Cat/1.jpg,Cat
PetImages/Cat/2.jpg,Cat
PetImages/Cat/3.jpg,Cat
PetImages/Cat/4.jpg,Cat
PetImages/Cat/5.jpg,Cat
PetImages/Cat/6.jpg,Cat
PetImages/Cat/7.jpg,Cat
PetImages/Cat/8.jpg,Cat
PetImages/Cat/9.jpg,Cat
PetImages/Cat/10.jpg,Cat
PetImages/Cat/11.jpg,Cat
PetImages/Cat/12.jpg,Cat
PetImages/Cat/13.jpg,Cat
PetImages/Cat/14.jpg,Cat
PetImages/Cat/15.jpg,Cat
PetImages/Cat/16.jpg,Cat
PetImages/Cat/17.jpg,Cat
PetImages/Cat/18.jpg,Cat
PetImages/Cat/19.jpg,Cat
PetImages/Cat/20.jpg,Cat
PetImages/Cat/21.jpg,Cat
PetImages/Cat/22.jpg,Cat
PetImages/Cat/23.jpg,Cat
PetImages/Cat/24.jpg,Cat
PetImages/Cat/25.jpg,Cat
PetImages/Cat/26.jpg,Cat
PetImages/Cat/27.jpg,Cat
PetImages/Cat/28.jpg,Cat
PetImages/Cat/29.jpg,Cat
PetImages/Cat/30.jpg,Cat
PetImages/Cat/31.jpg,Cat
PetImages/Cat/32.jpg,Cat
PetImages/Cat/33.jpg,Cat
PetImages/Cat/34.jpg,Cat
PetImages/Cat/35.jpg,Cat
PetImages/Cat/36.jpg,Cat
PetImages/Cat/37.jpg,Cat
PetImages/Cat/38.jpg,Cat
PetImages/Cat/39.jpg,Cat
PetImages/Cat/40.jpg,Cat
PetImages/Cat/41.jpg,Cat
PetImages/Cat/42.jpg,Cat
PetImages/Cat/43.jpg,Cat
PetImages/Cat/44.jpg,Cat
PetImages/Cat/45.jpg,Cat
PetImages/Cat/46.jpg,Cat
PetImages/Cat/47.jpg,Cat
PetImages/Cat/48.jpg,Cat
PetImages/Cat/49.jpg,Cat
PetImages/Cat/50.jpg,Cat
PetImages/Cat/51.jpg,Cat
PetImages/Cat/52.jpg,Cat
PetImages/Cat/53.jpg,Cat
PetImages/Cat/54.jpg,Cat
PetImages/Cat/55.jpg,Cat
PetImages/Cat/56.jpg,Cat
PetImages/Cat/57.jpg,Cat
PetImages/Cat/58.jpg,Cat
